Weekend,Unit_Sold,Print_Spend,Radio_Spend,TV_Spend,Promotion,Promotion_Dummy
9,2023,49099,858,51.14285714,Yes,1
227,780,48603,807,11.02857143,No,0
134,705,47249,785,11.48571429,Yes,1
60,678,46654,718,11.8,Yes,1
231,666,43688,822,10.71428571,No,0
48,715,45042,742,16.51428571,No,0
181,707,44454,737,9.31428571,Yes,1
103,710,46747,621,5.17142857,Yes,1
91,655,44564,694,5.08571429,Yes,1
44,719,47989,565,6.08571429,No,0
203,670,38676,885,5.77142857,No,0
195,622,39428,851,15.74285714,No,0
152,709,41488,767,2.71428571,No,0
79,675,46475,564,1.71428571,Yes,1
124,664,45140,591,11.48571429,Yes,1
158,680,37673,860,-0.71428571,Yes,1
21,598,48885,352,-0.14285714,No,0
8,628,39889,703,2.8,Yes,1
64,596,47563,370,5.6,No,0
224,606,39307,696,15.57142857,No,0
133,659,36706,795,2.54285714,Yes,1
54,628,40313,640,-0.51428571,No,0
105,577,35763,811,1.37142857,Yes,1
192,599,48681,272,9.22857143,Yes,1
81,569,48598,272,15.2,Yes,1
61,639,47936,295,9.14285714,No,0
109,616,48387,267,13.11428571,No,0
156,623,32886,886,-1.91428571,No,0
31,588,42767,491,2.08571429,Yes,1
198,633,40425,575,-3.94285714,No,0
173,575,42320,492,6,Yes,1
213,604,35300,774,2,Yes,1
7,605,46044,347,-3,No,0
25,599,41781,509,12.94285714,No,0
157,559,35072,777,1.94285714,No,0
162,581,38183,651,8.91428571,Yes,1
93,568,46091,330,-0.11428571,No,0
127,622,44157,391,9.8,No,0
132,636,43885,396,-0.25714286,No,0
238,581,32303,860,1.74285714,No,0
104,612,45498,325,14.71428571,No,0
219,581,44401,366,6.68571429,Yes,1
116,569,48536,203,13.68571429,No,0
138,625,43825,381,8.62857143,Yes,1
11,577,36701,648,-2.51428571,Yes,1
26,583,46352,259,4.42857143,Yes,1
6,612,41655,430,8.34285714,Yes,1
101,602,39645,507,10.31428571,Yes,1
233,538,48860,129,13.25714286,No,0
207,533,45029,261,3.11428571,Yes,1
225,540,39700,464,-2.94285714,Yes,1
140,518,33928,686,12,No,0
59,544,29155,885,9,No,0
56,541,30733,810,11.94285714,No,0
65,603,35927,598,-1.08571429,Yes,1
45,571,37643,523,6.88571429,No,0
218,517,35421,592,-5.28571429,No,0
146,568,42870,285,-3.31428571,No,0
229,542,36628,525,11.57142857,Yes,1
50,527,30595,761,13.57142857,No,0
117,587,31080,735,2.51428571,No,0
100,579,35422,548,-0.57142857,No,0
71,526,35900,522,7.37142857,No,0
24,493,43475,209,-0.71428571,Yes,1
72,564,36167,493,-0.74285714,Yes,1
14,542,44938,138,3.22857143,No,0
210,540,29065,778,-5.77142857,No,0
135,571,38215,397,12.14285714,Yes,1
206,525,29086,752,-0.94285714,No,0
220,506,26428,846,4,Yes,1
75,528,37654,394,2.97142857,No,0
52,568,34735,507,8.91428571,Yes,1
29,496,41342,233,1.85714286,No,0
99,517,29403,704,0.8,Yes,1
143,503,35773,438,6.68571429,Yes,1
150,543,31603,598,2.65714286,No,0
239,468,32552,549,-0.4,No,0
188,557,34891,437,10.45714286,Yes,1
107,470,28612,688,12.45714286,Yes,1
228,548,35204,426,-2.54285714,Yes,1
112,517,40053,226,-5.54285714,No,0
46,545,38363,290,-4.57142857,No,0
168,464,36569,354,-2.65714286,No,0
205,478,38018,291,-0.68571429,No,0
4,504,37363,316,7.31428571,Yes,1
190,477,35886,376,0.28571429,No,0
214,469,36659,323,-6.82857143,No,0
10,462,34102,420,8.14285714,No,0
141,547,30680,561,2.11428571,No,0
58,550,35321,364,-4.91428571,Yes,1
145,527,29229,598,7,Yes,1
226,516,31098,513,8.94285714,No,0
98,459,25574,720,-6.17142857,No,0
232,541,36129,295,11.8,Yes,1
5,495,36037,301,7.8,No,0
194,495,38077,208,-7.25714286,Yes,1
167,513,40035,128,-7.25714286,Yes,1
42,530,36831,253,-0.28571429,No,0
1,473,29747,535,-4.31428571,Yes,1
200,481,40057,119,10.68571429,Yes,1
94,492,40217,111,-1.34285714,No,0
125,530,39217,149,-0.37142857,No,0
97,490,22655,811,8.6,Yes,1
95,439,38326,177,1.6,Yes,1
240,515,20208,891,4.51428571,Yes,1
85,437,33618,345,2.45714286,Yes,1
113,472,23172,754,5.4,Yes,1
137,522,27701,568,-5.62857143,Yes,1
170,457,38502,139,6.37142857,No,0
180,427,27972,554,0.34285714,No,0
178,465,33244,338,8.28571429,Yes,1
171,506,36928,182,0.22857143,No,0
202,429,34629,271,-0.77142857,Yes,1
119,490,19600,874,-7.77142857,Yes,1
215,460,31167,397,2.11428571,No,0
39,505,30831,406,5.08571429,Yes,1
221,428,19763,848,0.08571429,No,0
209,418,21791,748,2.94285714,Yes,1
36,448,17983,897,-3.08571429,No,0
86,416,24036,648,2.85714286,No,0
111,452,35774,158,1.74285714,No,0
142,475,19563,802,-6.28571429,Yes,1
73,406,34579,199,-1.31428571,No,0
41,405,20212,762,-3.4,Yes,1
237,476,16963,883,6.51428571,No,0
67,471,20017,754,-3.51428571,No,0
123,471,30847,307,5.37142857,Yes,1
129,427,27574,429,3.31428571,No,0
128,440,27371,429,-6.77142857,Yes,1
38,391,17847,811,-3.77142857,Yes,1
208,477,21534,655,0.2,No,0
199,400,24161,546,9.2,Yes,1
32,437,29001,346,9.14285714,Yes,1
43,388,27420,410,5.14285714,No,0
182,400,28827,333,-2,No,0
217,430,31412,220,-1.08571429,Yes,1
155,372,19550,682,-0.17142857,Yes,1
230,399,16554,789,6.74285714,No,0
40,382,25718,413,-9.34285714,Yes,1
80,408,32630,130,4.6,Yes,1
191,394,28159,294,3.51428571,Yes,1
33,389,22739,503,4.45714286,Yes,1
16,431,23252,483,-4.54285714,Yes,1
185,403,13751,852,3.37142857,No,0
12,361,17644,694,-3.62857143,Yes,1
187,459,14664,812,6.37142857,No,0
177,406,22467,489,-7.71428571,No,0
189,434,28995,226,-6.71428571,No,0
118,416,24508,400,-0.74285714,Yes,1
62,390,30100,177,9.25714286,No,0
